City,Year,Cityyear,UHI,City2,Country,Year3,Cityyear4,WCH,environmental firms,GVAAgr,GVAConst,GVAConstrs,GVAFire,GVAManufElec,GVAManufElecpc,GVAAdmin,GVAAdminpc,GVA,GDP,Publictranspopass,Density,Densityrs,Population,Income,Gini,GVAAgrpc,GVAConstpc,GVAConstpcrs,GVAFirepc,Populationpc,Incomepc,IncomepcSQ,CO,NO2,PM10,PM10pc,PM2.5,SO2,green bonds issued,Long,Lat
Montreal,2007,Montreal2007,2.434519284,Montreal,Canada,2007,Montreal2007,1238,102,2.8818,33.0226,0.330226,18.10185,130.2667,3.353154521,13.89956,0.357784242,62.47972,66.79477,4.52508,8.438,0.08438,38.849,38.34373,39.8,74.18,85.003,0.85003,46.5955,103.3239,0.986997,9741.63078,0.3,33.6,18.3,0.471054596,7.1,6.3,0,-73.56725694,45.50168828
Montreal,2006,Montreal2006,1.959131559,Montreal,Canada,2006,Montreal2006,1238,102,2.8685,28.923,0.28923,17.54047,129.985,3.376146074,13.07055,0.339485987,59.75131,63.98893,4.47393,8.362,0.08362,38.501,35.71335,39.7,74.5,75.123,0.75123,45.5586,97.311,0.927594,8604.306288,0.4,32.9,18.4,0.477909665,8.4,8.4,0,-73.56725694,45.50168828
Montreal,2005,Montreal2005,2.491463418,Montreal,Canada,2005,Montreal2005,1238,102,1.9128,29.0258,0.290258,16.4298,128.4967,3.37270532,12.54863,0.329369012,57.23464,61.40449,4.40317,8.275,0.08275,38.099,33.03429,39.7,50.21,76.185,0.76185,43.1241,92.4323,0.867063,7517.98246,0.4,38.8,22.3,0.5853172,10.6,9.4,0,-73.56725694,45.50168828
Oslo,2017,Oslo2017,0.12742634,Oslo,Norway,2017,Oslo2017,1884,3,0.7954,28.9262,0.289262,21.74274,45.625,3.597051403,15.17581,1.196453012,57.64988,64.89255,3.71,2.361,0.02361,12.684,25.66926,36,62.72,228.049,2.28049,171.4166,174.8818,2.023727,40954.70971,,,,,,,0,10.75224375,59.91386853
Oslo,2016,Oslo2016,0.264820349,Oslo,Norway,2016,Oslo2016,1884,3,0.7231,27.4602,0.274602,20.73687,42.528,3.392469687,14.36264,1.145711551,54.2012,61.25061,3.5,2.334,0.02334,12.536,24.62315,35.9,57.67,219.052,2.19052,165.4201,168.973,1.964212,38581.28781,0.3,36,18.4,1.467772814,8.7,0.1,0,10.75224375,59.91386853
Oslo,2015,Oslo2015,0.444330979,Oslo,Norway,2015,Oslo2015,1884,3,0.7825,26.6828,0.266828,20.83009,45.0061,3.637444435,14.44056,1.167102562,55.01522,61.93948,3.34,2.303,0.02303,12.373,24.82203,35.8,63.24,215.648,2.15648,168.347,167.5539,2.006096,40244.21161,0.3,33.8,18.9,1.527519599,8.3,0.9,0,10.75224375,59.91386853
Oslo,2014,Oslo2014,0.582284465,Oslo,Norway,2014,Oslo2014,1884,3,0.7623,29.4359,0.294359,23.09544,51.4657,4.223346463,15.65771,1.28489332,61.72491,69.47579,3.19,2.268,0.02268,12.186,25.90679,35.8,62.55,241.559,2.41559,189.5296,182.837,2.126003,45198.88756,0.4,34.5,16.9,1.386837354,9.2,1.4,0,10.75224375,59.91386853
Oslo,2013,Oslo2013,0.432232297,Oslo,Norway,2013,Oslo2013,1884,3,0.6709,29.1275,0.291275,23.83738,50.6941,4.229089847,15.7431,1.313347793,62.43636,70.14948,3.09,2.231,0.02231,11.987,25.52477,34.2,55.97,242.997,2.42997,198.8631,185.4967,2.129402,45343.52878,0.3,45.2,21.8,1.818636857,10.8,3,0,10.75224375,59.91386853
Oslo,2012,Oslo2012,0.628301926,Oslo,Norway,2012,Oslo2012,1884,3,0.738,28.7033,0.287033,22.82113,47.1499,4.008322707,15.48863,1.316724475,60.90735,68.14164,3,2.19,0.0219,11.763,24.17848,36.8,62.75,244.023,2.44023,194.0157,182.3541,2.055552,42252.94025,0.4,39.1,19.5,1.657740372,9.9,1,0,10.75224375,59.91386853
Oslo,2011,Oslo2011,0.32883684,Oslo,Norway,2011,Oslo2011,1884,3,0.7612,25.3091,0.253091,20.86147,45.3865,3.935700659,14.96834,1.297983004,57.97495,64.94062,2.85,2.147,0.02147,11.532,22.93881,38.1,66.02,219.465,2.19465,180.8986,178.5958,1.989121,39566.02353,0.4,44.4,22.7,1.968435657,11.8,0.2,0,10.75224375,59.91386853
Oslo,2010,Oslo2010,0.673171278,Oslo,Norway,2010,Oslo2010,1884,3,0.767,21.5899,0.215899,18.3941,42.0235,3.716262823,13.21601,1.168730987,51.89133,58.40227,2.71,2.105,0.02105,11.308,20.81537,36.1,67.84,190.929,1.90929,162.6673,169.1161,1.840796,33885.29914,0.2,47.6,22.9,2.025114963,12,0.1,0,10.75224375,59.91386853
Oslo,2008,Oslo2008,0.473592894,Oslo,Norway,2008,Oslo2008,1884,3,0.8622,25.0257,0.250257,17.90743,48.7494,4.485178029,12.84032,1.181370871,54.21357,60.35894,2.44,2.023,0.02023,10.869,19.78879,36.8,79.32,230.25,2.3025,164.7592,170.2548,1.820688,33149.04793,0.3,33.8,21.9,2.014904775,10.8,0.1,0,10.75224375,59.91386853
Oslo,2007,Oslo2007,0.202704354,Oslo,Norway,2007,Oslo2007,1884,3,0.8492,22.8128,0.228128,16.6757,44.1663,4.142402926,11.84486,1.110941662,49.00385,55.35997,2.28,1.985,0.01985,10.662,18.67569,36.6,79.64,213.957,2.13957,156.3997,166.4417,1.751573,30680.07974,0.7,44.5,24.3,2.279122116,12.1,,0,10.75224375,59.91386853
Oslo,2009,Oslo2009,0.474780295,Oslo,Norway,2009,Oslo2009,1884,3,0.6236,20.249,0.20249,16.78105,36.9178,3.328626815,12.21924,1.101725724,48.11386,54.04079,2.56,2.065,0.02065,11.091,19.49041,34.6,56.23,182.567,1.82567,151.299,159.2391,1.757268,30879.90824,0.1,44,22.1,1.992606618,11.8,0.1,0,10.75224375,59.91386853
Oslo,2006,Oslo2006,0.22742762,Oslo,Norway,2006,Oslo2006,1884,3,0.7413,20.1774,0.201774,14.68897,40.5031,3.860379337,10.69163,1.019026878,45.06488,50.6094,2.21,1.953,0.01953,10.492,16.68899,37,70.66,192.305,1.92305,139.997,152.4642,1.590585,25299.60642,0.5,49.4,21,2.001524971,14.3,,0,10.75224375,59.91386853
Tokyo,2005,Tokyo2005,2.897394506,Tokyo,Japan,2005,Tokyo2005,21457,31,33.6374,428.213,4.28213,245.31549,1295.3892,3.638161413,135.25002,0.379856034,780.00871,785.14334,103.494061,25.825,0.25825,356.056,487.67252,32,94.48,120.265,1.20265,68.898,116.7394,1.36965,18759.41123,0.7,58.3,,,22,5.2,0,139.6917079,35.68948547
Tokyo,2006,Tokyo2006,2.68432095,Tokyo,Japan,2006,Tokyo2006,21457,31,31.7127,418.3048,4.183048,244.99592,1248.6528,3.482963322,134.22071,0.374392153,768.3511,773.53608,106.276604,26.002,0.26002,358.503,480.96742,33.2,88.45,116.681,1.16681,68.3385,115.2886,1.3416,17998.9056,0.7,57.4,,,21.3,5.2,0,139.6917079,35.68948547
Tokyo,2007,Tokyo2007,2.857492029,Tokyo,Japan,2007,Tokyo2007,21457,31,32.1211,412.5143,4.125143,246.56363,1222.3037,3.384588994,134.66485,0.37289028,771.36618,776.53758,110.171136,26.193,0.26193,361.138,480.46175,33.8,88.94,114.227,1.14227,68.2742,114.8271,1.330411,17699.93429,0.6,53.6,,,18.5,5.2,0,139.6917079,35.68948547
Tokyo,2008,Tokyo2008,2.912112167,Tokyo,Japan,2008,Tokyo2008,21457,31,33.3982,422.7359,4.227359,253.26719,1232.2838,3.389063437,141.64789,0.389564226,805.18435,812.48654,110.797564,26.373,0.26373,363.606,508.85232,32.7,91.86,116.262,1.16262,69.6541,119.6283,1.399459,19584.85493,0.7,53.6,24,0.066005511,17,5.2,0,139.6917079,35.68948547
Tokyo,2009,Tokyo2009,2.872094189,Tokyo,Japan,2009,Tokyo2009,21457,31,32.6638,427.1314,4.271314,252.58994,1114.8501,3.048445631,146.15327,0.399641438,788.46839,794.88363,109.429952,26.525,0.26525,365.711,520.86958,33.5,89.31,116.794,1.16794,69.0681,122.9028,1.424265,20285.3079,0.7,52.7,24,0.06562559,16,5.2,0,139.6917079,35.68948547
Tokyo,2010,Tokyo2010,2.913956928,Tokyo,Japan,2010,Tokyo2010,21457,31,35.9692,438.5813,4.385813,260.42744,1247.6892,3.391943758,152.017,0.41327048,828.46247,834.7088,110.053331,26.68,0.2668,367.839,532.35832,33.2,97.79,119.231,1.19231,70.7994,127.3263,1.447258,20945.55719,0.6,42.3,24,0.065245936,20,7.9,0,139.6917079,35.68948547
Tokyo,2017,Tokyo2017,2.731358254,Tokyo,Japan,2017,Tokyo2017,21457,31,33.0305,456.6366,4.566366,259.13615,1238.6308,3.306083512,152.24971,0.406376344,824.57145,827.58976,121.568334,27.174,0.27174,374.652,491.23433,34.8,88.18,121.882,1.21882,69.1671,120.1675,1.311177,17191.85125,,,,,,,0,139.6917079,35.68948547
Tokyo,2011,Tokyo2011,2.859195115,Tokyo,Japan,2011,Tokyo2011,21457,31,35.1528,439.0407,4.390407,271.32604,1224.854,3.319414521,160.65138,0.435373133,861.76125,865.95299,109.680726,26.763,0.26763,368.997,554.45469,33.8,95.26,118.983,1.18983,73.5306,131.4846,1.502601,22578.09765,0.6,47,22,0.059621081,17.4,5.2,0,139.6917079,35.68948547
Tokyo,2014,Tokyo2014,2.764738623,Tokyo,Japan,2014,Tokyo2014,21457,31,32.6062,426.8404,4.268404,248.4354,1075.3691,2.891430054,147.86789,0.397584105,788.92124,792.24288,115.783851,26.975,0.26975,371.916,482.73378,34.5,87.68,114.767,1.14767,66.7987,121.2019,1.297966,16847.15737,0.3,44.2,21,0.056464363,17.3,5.2,0,139.6917079,35.68948547
Tokyo,2016,Tokyo2016,2.742768889,Tokyo,Japan,2016,Tokyo2016,21457,31,33.2098,448.7121,4.487121,257.81419,1204.9869,3.221847034,151.51705,0.405120386,819.26483,822.34472,120.834794,27.127,0.27127,374.005,490.53582,34.7,88.8,119.974,1.19974,68.9332,120.0194,1.311574,17202.26357,0.5,40.4,17,0.045453938,13.7,5.2,0,139.6917079,35.68948547
Tokyo,2015,Tokyo2015,2.870417775,Tokyo,Japan,2015,Tokyo2015,21457,31,31.6863,416.7169,4.167169,243.76964,1123.6821,3.012164922,143.6261,0.385007023,773.87464,776.92948,119.12672,27.057,0.27057,373.048,464.34279,34.6,84.93,111.706,1.11706,65.3454,115.5239,1.244725,15493.40326,0.5,43.3,20,0.053612404,14.9,5.2,0,139.6917079,35.68948547
Tokyo,2013,Tokyo2013,2.883139221,Tokyo,Japan,2013,Tokyo2013,21457,31,34.2093,418.7183,4.187183,253.12271,1070.5091,2.886006023,149.15223,0.402102359,800.48468,803.80856,115.236544,26.904,0.26904,370.931,499.61683,34.1,92.22,112.883,1.12883,68.2397,124.1871,1.346926,18142.09649,0.5,44.2,22,0.059310222,16.8,5.2,0,139.6917079,35.68948547
Tokyo,2012,Tokyo2012,2.914062224,Tokyo,Japan,2012,Tokyo2012,21457,31,38.1799,434.285,4.34285,272.3427,1165.6974,3.151180783,163.10027,0.440902104,864.03825,867.78235,113.811499,26.831,0.26831,369.924,550.40207,34,103.21,117.399,1.17399,73.6213,134.4599,1.48788,22137.86894,0.6,45.2,20,0.054065159,15.1,5.2,0,139.6917079,35.68948547
New York,2012,New York2012,,New York,USA,2012,New York2012,11803,306,4.4046,286.7744,2.867744,564.43442,700.3652,3.540165998,239.06004,1.208387032,1125.8479,1204.80416,41.817298,9.209,0.09209,197.834,851.84928,49.1,22.24,144.956,1.44956,285.3074,336.5416,4.305888,185406.7147,0.5,55,29.8,0.150631337,9.5,3.8,0,-74.0059433,40.7127832
New York,2013,New York2013,,New York,USA,2013,New York2013,11803,306,5.2584,313.9282,3.139282,568.44462,724.815,3.649273232,246.08908,1.2390007,1151.26066,1231.52618,42.61676,9.246,0.09246,198.619,851.84296,49.8,26.46,158.056,1.58056,286.1994,342.7122,4.288838,183941.3139,0.5,53.9,17.2,0.086597959,9,2.9,0,-74.0059433,40.7127832
